provider,category,dsl,isDecorator,resourceType,tagName,subType,iconPath,typeURI,docURI
Google Cloud Platform,Developer Tools,gcp_Cloud_SDK,false,cloud,terminal,gcp_Cloud_SDK,icons/GCP Icons/Products and services/Developer Tools/Cloud SDK.svg,,
Azure,Management + Governance,az_Azure_Arc,false,cloud,terminal,az_Azure_Arc,icons/Azure_Public_Service_Icons/Management + Governance/00756-icon-service-Azure-Arc.svg,,
Azure,Management + Governance,az_User_Privacy,false,cloud,terminal,az_User_Privacy,icons/Azure_Public_Service_Icons/Management + Governance/10303-icon-service-User-Privacy.svg,,
Google Cloud Platform,Developer Tools,gcp_Cloud_Source_Repositories,false,cloud,terminal,gcp_Cloud_Source_Repositories,icons/GCP Icons/Products and services/Developer Tools/Cloud Source Repositories.svg,,
Azure,Management + Governance,az_Managed_Applications_Center,false,cloud,terminal,az_Managed_Applications_Center,icons/Azure_Public_Service_Icons/Management + Governance/10313-icon-service-Managed-Applications-Center.svg,,
Azure,Management + Governance,az_Policy,false,cloud,terminal,az_Policy,icons/Azure_Public_Service_Icons/Management + Governance/10316-icon-service-Policy.svg,,
Google Cloud Platform,Developer Tools,gcp_Cloud_Tasks,false,cloud,terminal,gcp_Cloud_Tasks,icons/GCP Icons/Products and services/Developer Tools/Cloud Tasks.svg,,
Azure,Management + Governance,az_MachinesAzureArc,false,cloud,terminal,az_MachinesAzureArc,icons/Azure_Public_Service_Icons/Management + Governance/10450-icon-service-MachinesAzureArc.svg,,
Google Cloud Platform,Developer Tools,gcp_Cloud_Test_Lab,false,cloud,terminal,gcp_Cloud_Test_Lab,icons/GCP Icons/Products and services/Developer Tools/Cloud Test Lab.svg,,
Google Cloud Platform,Developer Tools,gcp_Cloud_Tools_for_Eclipse,false,cloud,terminal,gcp_Cloud_Tools_for_Eclipse,icons/GCP Icons/Products and services/Developer Tools/Cloud Tools for Eclipse.svg,,
